Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_58_244,VPWR,li1,118.4500,171.3600,1.800000
FILLER_58_241,VPWR,li1,117.0700,171.3600,1.800000
FILLER_58_238,VPWR,li1,115.6900,171.3600,1.800000
FILLER_58_234,VPWR,li1,113.3900,171.3600,1.800000
FILLER_58_231,VPWR,li1,112.4700,171.3600,1.800000
FILLER_58_223,VPWR,li1,108.5600,171.3600,1.800000
FILLER_58_220,VPWR,li1,107.4100,171.3600,1.800000
FILLER_58_217,VPWR,li1,106.0300,171.3600,1.800000
FILLER_58_214,VPWR,li1,104.6500,171.3600,1.800000
FILLER_58_211,VPWR,li1,103.2700,171.3600,1.800000
FILLER_58_208,VPWR,li1,101.8900,171.3600,1.800000
FILLER_58_203,VPWR,li1,99.3600,171.3600,1.800000
FILLER_58_200,VPWR,li1,98.2100,171.3600,1.800000
FILLER_58_197,VPWR,li1,96.8300,171.3600,1.800000
FILLER_58_195,VPWR,li1,95.4500,171.3600,1.800000
FILLER_58_192,VPWR,li1,94.5300,171.3600,1.800000
FILLER_58_189,VPWR,li1,93.1500,171.3600,1.800000
FILLER_58_183,VPWR,li1,90.3900,171.3600,1.800000
